event_date,event_time,job_number,host_name,city,state,venue,topic,registration_max,fulfillment_percent,net_registrants,gross_registrants,fb_registrants,fb_cpr,attended_hh,walk_ins,attendance_rate,cpa,marketing_start_date,fb_days_running,fb_impressions,cpm,fb_reach,broker_dealer_account,ria_account,venue_type,venue_image_allowed,venue_disclosure_needed
2023-03-14,17:30:00,DN-018457,Erik R. Gomez,Irvine,CA,The Boardwalk,taxes_in_retirement_567,36,0.11,4,5,1,182.85,2,0,0.4,83.97,2023-02-28,5.0,15653,35.04,202800,,,Business/Conference Center,True,True
2024-06-05,18:00:00,DN-023086,Winter Andrew Troxel,Gaithersburg,MD,Casey Community Center,taxes_in_retirement_567,36,0.61,22,26,1,633.42,8,0,0.31,158.85,2024-05-22,17.0,75601,33.51,106500,,"Kestra Advisory Services, LLC",Community Center,True,True
2024-06-06,11:00:00,DN-023822,Bradley D Vey,Saline,MI,Saline Recreation Center,social_security_567,36,0.08,3,5,1,104.5,2,0,0.4,217.6,2024-05-21,6.0,18310,28.54,19500,,,Library,True,True
2024-03-05,11:00:00,DN-021534,Marcus George Warren,Louisville,KY,University of Louisville - Shelby Campus,taxes_in_retirement_567,36,0.28,10,10,1,493.02,5,0,0.5,233.52,2024-02-20,6.0,35939,27.44,96300,,Warren Wealth Ma0gement & Tax Planning Inc.,Business/Conference Center,True,True
2025-02-12,11:00:00,120209,Keith Heritage,Gainesville,FL,Freedom Community Center,taxes_in_retirement_567,72,0.07,5,7,1,506.24,3,0,0.43,368.75,2025-01-29,3.0,19567,25.87,14274,0,Prosperity Capital Advisors,Community Center,True,True
2024-02-22,13:30:00,DN-022467,Bradly Joseph Gotto,Elk River,MN,Elk River Great River Regio0l Library,estate_planning_567,24,0.79,19,20,1,14.65,15,0,0.75,14.72,2024-02-08,4.0,26962,19.02,16700,,,Library,True,True
2024-04-30,11:00:00,DN-022949,Kristen Kelly Smigelski,Palm Beach Gardens,FL,Nova Southeastern University - Palm Beach Campus,taxes_in_retirement_567,36,0.19,7,9,2,102.26,1,0,0.11,742.88,2024-04-11,6.0,34879,35.18,93100,"Regulus Fi0ncial Group, LLC",Regal Investment Advisors LLC,University/College,True,True
2023-03-09,11:00:00,DN-018457,Erik R. Gomez,Irvine,CA,The Boardwalk,taxes_in_retirement_567,36,0.22,8,13,2,182.85,6,0,0.46,72.77,2023-02-28,5.0,15653,35.04,202800,,,Business/Conference Center,True,True
2023-03-14,18:30:00,DN-017518,Shea Swenson,South Jordan,UT,Daybreak Community Center,taxes_in_retirement_567,24,0.17,4,4,2,171.75,3,0,0.75,145.72,2023-02-27,9.0,34363,34.99,82600,,"Kinetic Investment Ma0gement, Inc.",Community Center,True,True
2023-09-26,18:30:00,DN-020446,Robert Rodgers,Golden,CO,Colorado School of Mines - Ben H Parker Student Center,taxes_in_retirement_567,70,0.21,15,17,2,311.48,9,0,0.53,69.22,2023-09-12,4.0,17977,34.65,65800,,,University/College,True,True
2023-04-27,18:30:00,DN-020057,Rick O'Neal,Lee's Summit,MO,Metropolitan Community College - Longview,taxes_in_retirement_567,24,0.04,1,2,2,110.11,0,0,0.0,,2023-04-11,6.0,21000,31.46,41800,"Madison Avenue Securities, LLC","Madison Avenue Securities, LLC",Community College,True,True
2024-02-29,11:00:00,DN-022604,Matthew Seppanen,Heber City,UT,Utah Valley University - Wasatch Campus,taxes_in_retirement_567,24,0.29,7,7,2,159.59,2,1,0.29,302.36,2024-02-14,9.0,36341,30.74,9300,,Newpark Wealth Ma0gement,University/College,True,True
2024-06-18,18:00:00,DN-019303,Patrick Keith Riley,Davidson,NC,Charlotte Mecklenburg Library - Davidson Branch (X),taxes_in_retirement_567,40,0.05,2,3,2,332.16,1,0,0.33,828.94,2024-06-04,6.0,22282,29.81,46500,,Optimal Planning LLC,Library,True,True
2024-08-05,18:00:00,DN-023279,Shea Swenson,Springville,UT,Springville Library,taxes_in_retirement_567,24,0.17,4,5,2,185.38,2,0,0.4,286.19,2024-07-22,7.0,20548,27.07,21600,,,Library,True,True
2024-09-24,18:00:00,DN-022952,Curtis Gordon Macomber,Bethany Beach,DE,Bethany Beach Ocean Suites Residence Inn,taxes_in_retirement_567,24,0.21,5,5,2,138.13,5,1,1.0,89.67,2024-09-10,10.0,30929,26.8,23900,,"Brookstone Wealth Advisors, LLC",Hotel,True,True
2024-05-16,14:00:00,DN-022270,0te Joseph Miller,Lawrence,KS,Sports Pavilion Lawrence,taxes_in_retirement_567,24,0.08,2,2,2,165.21,1,0,0.5,331.56,2024-04-30,8.0,32716,25.25,27400,,"AE Wealth Ma0gement, LLC",Recreation Center,True,True
2024-06-20,18:30:00,DN-021511,Rick O'Neal,Olathe,KS,Olathe Indian Creek Library,taxes_in_retirement_567,24,0.08,2,2,2,167.26,0,0,0.0,,2024-06-04,3.0,13611,24.58,114400,"Madison Avenue Securities, LLC","Madison Avenue Securities, LLC",Library,True,True
2025-03-03,18:00:00,118539,Keene Winters,Wausau,WI,Northcentral Technical College,taxes_in_retirement_567,24,0.08,2,2,2,126.81,2,0,1.0,126.81,2025-02-19,7.0,57830,24.12,38900,LPL Fi0ncial LLC,LPL Fi0ncial LLC,Community College,True,True
2024-04-02,12:00:00,DN-023061,Glenn Stockton,Overland Park,KS,KU Edwards Campus,estate_planning_567,48,0.13,6,7,2,184.62,5,0,0.71,133.86,2024-03-19,6.0,40549,22.77,151000,,,University/College,True,True
2024-03-11,18:00:00,DN-022062,Kelton Merrill Burgess,Cranberry Township,PA,Regio0l Learning Alliance - Learning and Conference Center,estate_planning_567,36,0.06,2,4,2,244.58,2,0,0.5,296.3,2024-02-26,4.0,22282,21.95,30900,,"Impact Partnership Wealth, LLC",Event Venue,True,True
2025-02-24,10:00:00,121381,Dwayne Vick,0shville,TN,Gordon Jewish Community Center,taxes_in_retirement_567,35,0.17,6,6,3,125.1,4,0,0.67,132.46,2025-02-12,7.0,42181,35.59,29253,"Hornor, Townsend & Kent, LLC",0,Community Center,True,True
2023-05-25,18:30:00,DN-020140,Leslie W. Turner,Knoxville,TN,Rothchild Catering & Conference Center,taxes_in_retirement_567,40,0.13,5,6,3,321.45,4,0,0.67,244.59,2023-05-11,7.0,27881,34.59,52500,,"Gradient Advisors, LLC",Business/Conference Center,True,True
2023-10-16,18:00:00,DN-020776,Tim Scott Sullivan,Troy,MI,Walsh College - Troy Campus,taxes_in_retirement_567,36,0.14,5,5,3,127.37,4,0,0.8,136.32,2023-10-04,10.0,75152,33.9,118300,,,University/College,True,True
2023-10-24,18:00:00,DN-018708,Shea Swenson,Spanish Fork,UT,Spanish Fork Library,taxes_in_retirement_567,24,0.13,3,3,3,83.13,3,0,1.0,75.58,2023-10-09,7.0,24746,33.59,23600,,,Library,True,True
2024-06-11,18:00:00,DN-023086,Winter Andrew Troxel,Gaithersburg,MD,Casey Community Center,taxes_in_retirement_567,36,0.83,30,40,3,633.42,16,1,0.4,122.19,2024-05-22,17.0,75601,33.51,106500,,"Kestra Advisory Services, LLC",Community Center,True,True
2023-10-17,18:30:00,DN-019606,Kenneth Paul Hewitt Sr.,El Paso,TX,Fairfield Inn & Suites by Marriott El Paso,taxes_in_retirement_567,24,0.13,3,3,3,103.41,1,0,0.33,314.89,2023-10-03,10.0,27786,33.49,42700,"Vanderbilt Securities, LLC",,Hotel,True,True
2023-03-09,18:30:00,DN-018193,0te Joseph Miller,Topeka,KS,Washburn Institute of Technology,taxes_in_retirement_567,36,0.08,3,3,3,99.06,1,0,0.33,285.3,2023-02-23,12.0,73625,32.29,43600,,"AE Wealth Ma0gement, LLC",Tech School,True,True
2023-09-22,11:00:00,DN-021110,Clifton Anthony Ross,Hopkins,MN,Hopkins Library,taxes_in_retirement_567,24,0.21,5,9,3,125.21,2,0,0.22,256.28,2023-09-06,9.0,35348,31.88,88100,,Belpointe Asset Ma0gement LLC,Library,True,True
2024-03-25,11:00:00,DN-022383,David Gates,Park City,UT,Park City Library,social_security_567,48,0.06,3,3,3,120.32,0,0,0.0,,2024-03-11,5.0,11815,30.55,14200,"Securities America, Inc.","Securities America, Inc.",Library,True,True
2023-11-30,18:00:00,DN-021703,Troy Andrew Spooner,Allendale Charter Township,MI,Allendale Twp Library,taxes_in_retirement_567,24,0.13,3,4,3,85.74,3,0,0.75,103.92,2023-11-16,11.0,28151,30.46,9600,"Parkland Securities, LLC",,Library,True,True
2023-05-23,18:30:00,DN-019039,Dave Alan Bucha0n,Ceresco,NE,Ceresco Community Center,taxes_in_retirement_567,48,0.04,2,4,3,204.83,1,0,0.25,614.5,2023-05-09,8.0,20979,29.29,4300,,"CreativeOne Wealth, LLC",Community Center,True,True
2025-01-28,11:00:00,118748,Shea Swenson,Holladay,UT,Holladay Library,taxes_in_retirement_567,24,0.33,8,8,3,102.0,4,0,0.5,150.16,2025-01-14,9.0,24382,29.28,18235,0,0,Library,True,True
2024-08-15,11:00:00,DN-023280,Shea Swenson,American Fork,UT,American Fork Library,taxes_in_retirement_567,24,0.17,4,4,3,92.61,2,0,0.5,179.37,2024-07-30,10.0,31143,26.76,0,,,Library,True,True
2024-04-30,14:00:00,DN-022968,David Gates,Draper,UT,Draper Library,social_security_567,70,0.07,5,5,3,205.84,3,0,0.6,205.84,2024-04-16,8.0,23637,26.13,32100,"Securities America, Inc.","Securities America, Inc.",Library,True,True
2024-05-14,14:00:00,DN-022270,0te Joseph Miller,Lawrence,KS,Sports Pavilion Lawrence,taxes_in_retirement_567,24,0.13,3,3,3,165.21,2,0,0.67,248.68,2024-04-30,8.0,32716,25.25,27400,,"AE Wealth Ma0gement, LLC",Recreation Center,True,True
2024-04-03,12:00:00,DN-023061,Glenn Stockton,Overland Park,KS,KU Edwards Campus,estate_planning_567,48,0.08,4,7,3,184.62,2,0,0.29,334.65,2024-03-19,6.0,40549,22.77,151000,,,University/College,True,True
